Range,Goodput
1161000,0.994
1162000,0.989
1163000,0.996
1164000,0.999
1165000,0.995
1166000,0.995
1167000,0.992
1168000,0.993
1169000,0.995
1170000,0.995
1171000,0.995
1172000,0.995
1173000,0.993
1174000,0.992
1175000,0.995
1176000,0.983
1177000,0.994
1178000,0.994
1179000,0.993
1180000,0.995
1181000,0.99
1182000,0.999
1183000,0.993
1184000,0.994
1185000,0.992
1186000,0.989
1187000,0.996
1188000,0.992
1189000,0.998
1190000,0.992
1191000,0.995
1192000,0.994
1193000,0.996
1194000,0.994
1195000,0.994
1196000,0.99
1197000,0.994
1198000,0.999
1199000,0.995
1200000,0.995
1201000,0.995
1202000,0.995
1203000,0.992
1204000,0.989
1205000,0.994
1206000,0.994
1207000,0.997
1208000,0.991
1209000,0.996
1210000,0.994
1211000,0.994
1212000,0.993
1213000,0.993
1214000,0.993
1215000,0.995
1216000,0.995
1217000,0.992
1218000,0.992
1219000,0.992
1220000,0.997
1221000,0.996
1222000,0.994
1223000,0.995
1224000,0.99
1225000,0.994
1226000,0.993
1227000,0.992
1228000,0.991
1229000,0.991
1230000,0.995
1231000,0.989
1232000,0.989
1233000,0.99
1234000,0.995
1235000,0.991
1236000,0.998
1237000,0.996
1238000,0.992
1239000,0.997
1240000,0.997
1241000,0.992
1242000,0.993
1243000,0.998
1244000,0.998
1245000,0.994
1246000,0.992
1247000,0.995
1248000,0.992
1249000,0.99
1250000,0.994
1251000,0.994
1252000,0.995
1253000,0.99
1254000,0.996
1255000,0.992
1256000,0.996
1257000,0.996
1258000,0.993
1259000,0.992
1260000,0.994
1261000,0.993
1262000,0.997
1263000,0.986
1264000,0.99
1265000,0.992
1266000,0.995
1267000,0.996
1268000,0.995
1269000,0.992
1270000,0.997
1271000,0.994
1272000,0.997
1273000,0.99
1274000,0.994
1275000,0.997
1276000,0.994
1277000,0.996
1278000,0.989
1279000,0.995
1280000,0.994
1281000,0.994
1282000,0.994
1283000,0.993
1284000,0.987
1285000,0.988
1286000,0.992
1287000,0.989
1288000,0.995
1289000,0.992
1290000,0.992
1291000,0.987
1292000,0.99
1293000,0.996
1294000,0.993
1295000,0.994
1296000,0.992
1297000,0.994
1298000,0.995
1299000,0.995
1300000,0.995
1301000,0.99
1302000,0.996
1303000,0.995
1304000,0.998
1305000,0.992
1306000,0.997
1307000,0.989
1308000,0.99
1309000,0.998
1310000,0.996
1311000,0.991
1312000,0.991
1313000,0.998
1314000,0.996
1315000,0.997
1316000,0.993
1317000,0.994
1318000,0.994
1319000,0.995
1320000,0.995
1321000,0.996
1322000,0.997
1323000,0.996
1324000,0.99
1325000,0.995
1326000,0.997
1327000,0.997
1328000,0.991
1329000,0.988
1330000,0.99
1331000,0.993
1332000,0.991
1333000,0.991
1334000,0.996
1335000,0.992
1336000,0.993
1337000,0.994
1338000,0.999
1339000,0.996
1340000,0.989
1341000,0.991
1342000,0.993
1343000,0.994
1344000,0.992
1345000,0.993
1346000,0.996
1347000,0.996
1348000,0.996
1349000,0.995
1350000,0.997
1351000,0.997
1352000,0.992
1353000,0.993
1354000,0.996
1355000,0.996
1356000,0.995
1357000,0.994
1358000,0.995
1359000,0.994
1360000,0.989
1361000,0.995
1362000,0.997
1363000,0.997
1364000,0.992
1365000,0.992
1366000,0.993
1367000,0.997
1368000,0.994
1369000,0.996
1370000,0.991
1371000,0.989
1372000,0.994
1373000,0.998
1374000,0.994
1375000,0.994
1376000,0.983
1377000,0.99
1378000,0.992
1379000,0.995
1380000,0.996
1381000,0.99
1382000,0.993
1383000,0.998
1384000,0.996
1385000,0.997
1386000,0.997
1387000,0.993
1388000,0.996
1389000,0.994
1390000,0.995
1391000,0.995
1392000,0.997
1393000,0.998
1394000,0.995
1395000,0.999
1396000,0.994
1397000,0.991
1398000,0.99
1399000,0.998
1400000,0.997
1401000,0.993
1402000,0.994
1403000,0.996
1404000,0.993
1405000,0.996
1406000,0.993
1407000,0.991
1408000,0.992
1409000,0.998
1410000,0.995
1411000,0.991
1412000,0.997
1413000,0.993
1414000,0.995
1415000,0.994
1416000,0.999
1417000,0.993
1418000,0.993
1419000,0.996
1420000,0.998
1421000,0.993
1422000,0.991
1423000,0.991
1424000,0.994
1425000,0.996
1426000,0.996
1427000,0.987
1428000,0.99
1429000,0.992
1430000,0.991
1431000,0.994
1432000,0.998
1433000,0.991
1434000,0.991
1435000,0.993
1436000,0.991
1437000,0.994
1438000,0.994
1439000,0.992
1440000,0.993
1441000,0.994
1442000,0.995
1443000,0.992
1444000,0.993
1445000,0.995
1446000,0.995
1447000,0.989
